M,Incremental PCA 1+2,M,Batch PCA 1+2,M,Incremental PCA 1+2,M,Batch PCA 1+2 ,M,Incremental PCA 1+2+3,M,Batch PCA 1+2+3,M,Incremental PCA 1+2+3,M,Batch PCA 1+2+3 ,M,Incremental PCA 1+2+3+4,M,Batch PCA 1+2+3+4,M,Incremental PCA 1+2+3+4,M,Batch PCA 1+2+3+4 
0,37.08254733,0,37.08254733,0,1.923076923,0,1.923076923,0,38.37500621,0,38.37500621,0,1.923076923,0,1.923076923,0,37.60769619,0,37.60769619,0,1.923076923,0,1.923076923
20,17.3512794,20,16.98355189,20,45.19230769,20,45.19230769,30,16.06367724,30,16.08002979,30,60.57692308,30,59.61538462,40,15.57826546,40,15.32588234,40,62.5,40,61.53846154
40,15.22637188,40,14.83848913,40,51.92307692,40,50.96153846,60,11.99048735,60,11.75750197,60,65.38461538,60,64.42307692,80,11.25001536,80,11.06067982,80,66.34615385,80,66.34615385
60,10.78146893,60,10.13873423,60,50,60,50,90,10.05163408,90,9.990509621,90,66.34615385,90,67.30769231,120,8.872997795,120,8.749065975,120,65.38461538,120,65.38461538
80,9.115035617,80,8.827515101,80,50,80,50,120,7.779570432,120,7.651219582,120,66.34615385,120,66.34615385,160,6.716834501,160,6.858125529,160,66.34615385,160,66.34615385
100,7.075373858,100,7.012870709,100,50,100,50,150,6.116370065,150,6.05310886,150,65.38461538,150,65.38461538,200,4.620702944,200,4.655473075,200,66.34615385,200,66.34615385
120,4.977657924,120,4.903997773,120,51.92307692,120,51.92307692,180,4.169498204,180,3.967536003,180,65.38461538,180,65.38461538,240,3.15446702,240,2.995624292,240,67.30769231,240,67.30769231
140,3.942929732,140,3.833902859,140,52.88461538,140,52.88461538,210,2.839503977,210,2.751383081,210,67.30769231,210,67.30769231,280,2.343701034,280,2.281025341,280,67.30769231,280,67.30769231
160,3.00908784,160,2.412345753,160,53.84615385,160,53.84615385,240,1.998375403,240,1.986641358,240,66.34615385,240,66.34615385,320,1.49015234,320,1.417791364,320,66.34615385,320,66.34615385
180,1.463929485,180,1.193524622,180,54.80769231,180,54.80769231,270,1.310410563,270,1.205618093,270,66.34615385,270,66.34615385,360,1.142147771,360,1.0529614,360,66.34615385,360,66.34615385
200,1.129998236,200,0.74757667,200,54.80769231,200,54.80769231,300,0.795230592,300,0.650458918,300,66.34615385,300,66.34615385,400,0.628656979,400,0.608853561,400,66.34615385,400,66.34615385
208,0.975038568,208,1.277097891,208,54.80769231,208,54.80769231,312,0.697276938,312,1.304269747,312,66.34615385,312,66.34615385,416,0.605141005,416,0.600468031,416,66.34615385,416,66.34615385
